student_number,student_name,date_of_birth,student_email,course_name,academic_year,student_password
150,Student150,2000-03-30,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
155,Student155,1999-10-28,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
160,Student160,2001-05-06,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
165,Student165,2000-02-27,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
170,Student170,1999-08-07,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
175,Student175,2002-01-07,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
180,Student180,2000-05-10,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
185,Student185,1999-10-05,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
190,Student190,2002-03-16,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
195,Student195,2000-06-03,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
200,Student200,1999-08-29,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
205,Student205,2002-02-03,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
210,Student210,2000-05-10,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
215,Student215,1999-10-05,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
220,Student220,2002-03-16,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
225,Student225,2000-06-03,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
230,Student230,1999-08-29,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
235,Student235,2002-02-03,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
240,Student240,2000-05-10,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
245,Student245,1999-10-05,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
250,Student250,2002-03-16,amulvenna10@qub.ac.uk,Software Development,Postgraduate,password
148,Student148,2001-07-08,amulvenna10@qub.ac.uk,Psychology,Second,password
153,Student153,2000-06-21,amulvenna10@qub.ac.uk,Psychology,First,password
158,Student158,2002-03-25,amulvenna10@qub.ac.uk,Psychology,Postgraduate,password
163,Student163,2001-09-18,amulvenna10@qub.ac.uk,Psychology,Third,password
168,Student168,2000-01-20,amulvenna10@qub.ac.uk,Psychology,Second,password
173,Student173,1999-09-25,amulvenna10@qub.ac.uk,Psychology,Postgraduate,password
178,Student178,2001-08-15,amulvenna10@qub.ac.uk,Psychology,Second,password
183,Student183,2002-06-18,amulvenna10@qub.ac.uk,Psychology,Third,password
188,Student188,1999-07-19,amulvenna10@qub.ac.uk,Psychology,First,password
193,Student193,2001-05-25,amulvenna10@qub.ac.uk,Psychology,First,password
198,Student198,2002-04-20,amulvenna10@qub.ac.uk,Psychology,Second,password
203,Student203,1999-10-09,amulvenna10@qub.ac.uk,Psychology,Second,password
208,Student208,2001-08-15,amulvenna10@qub.ac.uk,Psychology,Postgraduate,password
213,Student213,2002-06-18,amulvenna10@qub.ac.uk,Psychology,Third,password
218,Student218,1999-07-19,amulvenna10@qub.ac.uk,Psychology,Third,password
223,Student223,2001-05-25,amulvenna10@qub.ac.uk,Psychology,First,password
228,Student228,2002-04-20,amulvenna10@qub.ac.uk,Psychology,Second,password
233,Student233,1999-10-09,amulvenna10@qub.ac.uk,Psychology,Third,password
238,Student238,2001-08-15,amulvenna10@qub.ac.uk,Psychology,Second,password
243,Student243,2002-06-18,amulvenna10@qub.ac.uk,Psychology,Postgraduate,password
248,Student248,1999-07-19,amulvenna10@qub.ac.uk,Psychology,First,password
147,Student147,1999-11-23,amulvenna10@qub.ac.uk,Maths,First,password
151,Student151,1999-09-19,amulvenna10@qub.ac.uk,Maths,Second,password
156,Student156,2001-04-17,amulvenna10@qub.ac.uk,Maths,Fourth,password
161,Student161,2000-11-22,amulvenna10@qub.ac.uk,Maths,Second,password
166,Student166,1999-06-15,amulvenna10@qub.ac.uk,Maths,First,password
171,Student171,2001-11-16,amulvenna10@qub.ac.uk,Maths,Third,password
176,Student176,2000-07-23,amulvenna10@qub.ac.uk,Maths,Third,password
181,Student181,1999-12-21,amulvenna10@qub.ac.uk,Maths,First,password
186,Student186,2001-12-14,amulvenna10@qub.ac.uk,Maths,Second,password
191,Student191,2000-09-07,amulvenna10@qub.ac.uk,Maths,Fourth,password
196,Student196,1999-09-22,amulvenna10@qub.ac.uk,Maths,Second,password
201,Student201,2001-12-06,amulvenna10@qub.ac.uk,Maths,Second,password
206,Student206,2000-07-23,amulvenna10@qub.ac.uk,Maths,Fourth,password
211,Student211,1999-12-21,amulvenna10@qub.ac.uk,Maths,Third,password
216,Student216,2001-12-14,amulvenna10@qub.ac.uk,Maths,First,password
221,Student221,2000-09-07,amulvenna10@qub.ac.uk,Maths,Third,password
226,Student226,1999-09-22,amulvenna10@qub.ac.uk,Maths,Third,password
231,Student231,2001-12-06,amulvenna10@qub.ac.uk,Maths,Second,password
236,Student236,2000-07-23,amulvenna10@qub.ac.uk,Maths,Fourth,password
